STOP_ID,STOP,LAT,LON
466,GROVE/TUCKAHOE,37.571372,-77.512295
468,GROVE/ROSLYN,37.570195,-77.509714
470,GROVE/LEXINGTON,37.568777,-77.506732
473,GROVE/WEST LOCKE LANE,37.56688,-77.502758
476,GROVE/WESTMORELAND,37.565502,-77.499882
477,GROVE/COMMONWEALTH,37.564692,-77.498172
480,GROVE/ANTRIM,37.563274,-77.49521
481,GROVE/MALVERN,37.562053,-77.492665
483,GROVE/HAMILTON,37.560737,-77.48982
484,GROVE/THOMPSON,37.559485,-77.487197
485,GROVE/NANSEMOND,37.55846,-77.484343
487,GROVE/AUBURN,37.557213,-77.480823
488,GROVE/BELMONT,37.556347,-77.478337
490,GROVE/BOULEVARD,37.554973,-77.474672
539,ROBINSON/HANOVER,37.554955,-77.47162
540,GROVE/ROBINSON,37.554257,-77.472335
541,GROVE/BOULEVARD,37.555115,-77.474783
543,GROVE/BELMONT,37.556287,-77.478042
544,GROVE/TILDEN,37.5573,-77.481
545,GROVE/ROSENEATH,37.557928,-77.482643
546,GROVE/NANSEMOND,37.558615,-77.484543
547,GROVE/THOMPSON,37.559462,-77.486895
548,GROVE/HAMILTON,37.560716,-77.489392
550,GROVE/MALVERN,37.562068,-77.492268
552,GROVE/SAUER,37.563423,-77.495105
554,GROVE/COMMONWEALTH,37.564732,-77.497823
555,GROVE/WESTMORELAND,37.565447,-77.499325
557,GROVE/BUNTING,37.567227,-77.503068
559,GROVE/LEXINGTON,37.568788,-77.50639
561,GROVE/ROSLYN ROAD,37.570203,-77.509277
563,GROVE/TUCKAHOE,37.571447,-77.51193
566,GROVE/SENECA,37.572905,-77.51502
568,GROVE/LIBBIE,37.573075,-77.518287
571,GROVE/THREE CHOPT,37.572877,-77.52358
574,TOWANA/THREE CHOPT,37.577412,-77.526712
575,CAMPUS/ROSELAWN,37.578222,-77.527602
577,CAMPUS/BOSTWICK LANE,37.579238,-77.532322
579,14TH/MAIN,37.53527,-77.432233
581,BROAD/WILLOW LAWN SHOPPING CENTER,37.582732,-77.495017
582,BROAD/STAPLES MILL,37.581587,-77.493587
586,WILLOW LAWN/SHELTER,37.582978,-77.498363
587,HENRICO HUMAN SERVICES,37.628336,-77.509514
588,HENRICO JUVENILE AND DOMESTIC RELATION COURTS,37.630317,-77.511603
590,PARHAM/HEALTH SOUTH HOSPITAL,37.63049,-77.527106
590,PARHAM/HENRICO DOCTORS HOSPITAL,37.63049,-77.527106
591,PARHAM/SHRADER,37.63098,-77.529993
592,Parham at Sun Trust Operations Center,37.631049,-77.53272
593,BROAD/CAROUSEL LANE,37.62817,-77.533772
594,BROAD/WESTLAND SHOPPING CENTER,37.625857,-77.531162
595,BROAD/ENTERPRISE PARKWAY,37.624461,-77.529507
596,BROAD/HUNGARY SPRING,37.621687,-77.52637
597,BROAD/WISTAR,37.618815,-77.523982
598,BROAD/SUNNYBROOK,37.616693,-77.522866
600,BROAD/EMERYWOOD PARKWAY,37.610372,-77.519543
601,BROAD/ALTRIA,37.600989,-77.514974
602,BROAD/HOME DEPOT,37.597982,-77.513622
603,BROAD/MORNINGSIDE,37.595095,-77.510223
604,BROAD/CRESTWOOD,37.592197,-77.506645
605,BROAD/BREMO,37.590863,-77.505049
606,BROAD/LAKE,37.588741,-77.502447
608,BROAD/LAKE,37.588588,-77.501763
609,BROAD/BREMO,37.591321,-77.505156
610,BROAD/CRESTWOOD,37.592888,-77.50705
611,BROAD/6020 WEST BROAD,37.595105,-77.509759
612,BROAD STREET/W CLUB,37.597617,-77.512738
613,BROAD/BROOKFIELD,37.601538,-77.514667
614,BROAD/GLENSIDE,37.609176,-77.518493
615,BROAD/BETHLEHEM,37.614423,-77.521298
617,BROAD/SUNNYBROOK,37.617405,-77.522857
619,BROAD/CARDINAL,37.620944,-77.525133
620,HUNGARY SPRING/BROAD,37.622433,-77.526163
621,HUNGARY SPRING AT VERIZON,37.625477,-77.522937
622,HUNGARY SPRING/STONEMAN,37.628018,-77.520228
623,HENRICO GOVERNMENT COMPLEX CENTER,37.627503,-77.516928
624,PRINCE HENRY/ADMINISTRATION BUILDING SHELTER,37.628977,-77.514202
625,BROAD/BYRD,37.586773,-77.499545
626,LIBBIE/INDIGO,37.592645,-77.500585
627,Libbie/Argus,37.594318,-77.499715
628,STAPLES MILL RD/NORTHSIDE,37.604441,-77.492696
629,STAPLES MILL RD/ASPEN,37.607594,-77.495057
630,STAPLES MILL/TALLEY,37.61156,-77.496058
