AVG_PASSENGERS_OFF,AVG_PASSENGERS_ON,AVG_PASSENGER_MILES,AVG_SEGMENT_MILES,SUM_PASSENGERS_OFF,SUM_PASSENGERS_ON,SUM_PASSENGER_MILES,TIME_PERIOD_SORT,TRIPS_COUNT,SERVICE_TYPE
0,0,0.368865283,0.164204545,2,14,25.45170455,2,69,0
0,0,0.772617479,0.343939394,0,0,53.31060606,2,69,0
0,0,0,0,2,6,0,2,7,0
0,0,0.555385375,0.23655303,0,3,38.32159091,2,69,0
0,0,0.30110617,0.127462121,1,2,20.77632576,2,69,0
0,0,0.532863966,0.225568182,0,0,36.76761364,2,69,0
1,0,0,0,2,0,0,2,2,0
0,0,0.477429183,0.296780303,58,8,32.94261364,2,69,0
0,0,0.338381094,0.214204545,2,0,23.34829545,2,69,0
1,1,0,0,3,2,0,2,2,0
0,0,0.337870553,0.240340909,17,6,23.31306818,2,69,0
0,0,0.172928886,0.119128788,0,2,10.72159091,2,62,0
0,0,0.153165584,0.119128788,0,0,1.072159091,2,7,0
0,0,0,0,30,0,0,2,69,0
0,0,0.275,0.275,0,16,5.5,2,20,0
0,1,0.34375,0.275,0,5,1.375,2,4,0
0,1,0,0,0,1,0,2,1,0
0,0,0.194602273,0.155681818,0,0,0.778409091,2,4,0
0,0,0.186818182,0.155681818,0,4,3.736363636,2,20,0
0,0,0.157575758,0.118181818,0,3,3.781818182,2,24,0
0,1,0,0,0,1,0,2,1,0
0,0,0.309375,0.16875,0,11,7.425,2,24,0
0,0,0.379056187,0.193560606,0,3,9.097348485,2,24,0
0,1,0,0,0,2,0,2,2,0
0,0,0.427769886,0.180113636,0,8,10.26647727,2,24,0
0,0,0.62750947,0.259659091,0,1,15.06022727,2,24,0
0,1,0,0,0,1,0,2,1,0
0,0,0.457070707,0.171401515,0,5,10.96969697,2,24,0
0,0,0.602193813,0.222348485,0,1,14.45265152,2,24,0
0,0,0.714393939,0.209090909,0,17,17.14545455,2,24,0
0,1,0,0,0,1,0,2,1,0
0,0,0.310069444,0.079166667,0,11,7.441666667,2,24,0
0,1,0,0,0,1,0,2,1,0
0,0,0.738557449,0.180871212,0,3,17.72537879,2,24,0
0,1,0,0,0,8,0,2,8,0
0,0,0.787050189,0.173295455,0,3,18.88920455,2,24,0
0,0,1.247277462,0.243371212,0,14,29.93465909,2,24,0
0,1,0,0,0,1,0,2,1,0
0,0,1.460606061,0.273863636,3,7,35.05454545,2,24,0
0,1,0,0,0,3,0,2,3,0
0,1,0,0,0,3,0,2,2,0
0,0,1.22963226,0.212310606,0,5,29.51117424,2,24,0
0,0,1.404040404,0.242424242,0,0,33.6969697,2,24,0
0,0,1.381005366,0.23844697,0,0,33.14412879,2,24,0
0,0,2.342866162,0.41344697,4,1,56.22878788,2,24,0
1,0,0,0,1,0,0,2,1,0
0,0,1.857370581,0.325378788,1,3,44.57689394,2,24,0
0,0,2.362255366,0.413825758,0,0,56.69412879,2,24,0
0,0,2.160590278,0.395833333,6,0,51.85416667,2,24,0
0,0,0,0,0,0,0,2,1,0
4,0,0,0,88,0,0,2,20,0
3,0,0,0,12,0,0,2,4,0
0,0,0.195430871,0.240530303,0,5,3.126893939,2,16,0
0,0,0,0.240530303,0,0,0,2,2,0
0,0,0.547159091,0.324242424,1,15,8.754545455,2,16,0
0,0,0,0.324242424,0,0,0,2,2,0
0,0,0.306050084,0.189962121,0,2,5.508901515,2,18,0
0,0,0.489646465,0.314772727,1,0,8.813636364,2,18,0
0,0,0.33733165,0.216856061,0,0,6.071969697,2,18,0
0,0,0.403324916,0.259280303,0,0,7.259848485,2,18,0
0,0,0.295496633,0.189962121,0,0,5.318939394,2,18,0
0,0,0.339688552,0.218371212,0,0,6.114393939,2,18,0
0,0,0.459090909,0.306060606,1,0,8.263636364,2,18,0
0,0,0.419886364,0.279924242,0,0,7.557954545,2,18,0
0,0,0,0,0,0,0,2,1,0
0,0,0.321022727,0.214015152,1,1,5.778409091,2,18,0
0,0,0.286079545,0.190719697,0,0,5.149431818,2,18,0
1,0,0,0,3,0,0,2,2,0
0,0,0.275505051,0.206628788,0,0,4.959090909,2,18,0
0,0,0.225252525,0.168939394,0,0,4.054545455,2,18,0
0,0,0.487121212,0.365340909,0,0,8.768181818,2,18,0
0,0,0.150757576,0.113068182,0,0,2.713636364,2,18,0
0,0,0.294191919,0.220643939,0,0,5.295454545,2,18,0
0,0,0.132070707,0.09905303,0,0,2.377272727,2,18,0
0,0,0.160690236,0.125757576,2,1,2.892424242,2,18,0
1,0,0,0,2,0,0,2,2,0
0,0,0.469486532,0.422537879,1,0,8.450757576,2,18,0
0,0,0,0,0,0,0,2,16,0
0,0,0,0,1,0,0,2,2,0
0,1,0.557017544,0.240530303,0,19,10.58333333,2,19,0
0,1,0.601325758,0.240530303,0,4,2.40530303,2,4,0
0,0,0.733811802,0.324242424,1,0,13.94242424,2,19,0
0,0,0.891666667,0.324242424,0,1,3.566666667,2,4,0
0,0,0.581974638,0.243371212,0,1,13.38541667,2,23,0
1,0,0,0,1,0,0,2,1,0
0,0,0.763932806,0.325378788,0,0,17.57045455,2,23,0
0,0,0.956916996,0.407575758,0,0,22.00909091,2,23,0
0,0,0.361413043,0.151136364,0,1,8.3125,2,23,0
0,0,0.408333333,0.148484848,0,0,1.633333333,2,4,0
0,0,0.359489633,0.148484848,0,2,6.83030303,2,19,0
0,0,0.341477273,0.113825758,0,1,1.365909091,2,4,0
0,0,0.305532297,0.113825758,0,5,5.805113636,2,19,0
0,1,0,0,0,1,0,2,1,0
0,0,0.329380764,0.118371212,0,0,7.575757576,2,23,0
0,0,0.563076416,0.199242424,0,1,12.95075758,2,23,0
0,0,0.786732456,0.271780303,0,2,14.94791667,2,19,0
0,0,0.815340909,0.271780303,0,0,3.261363636,2,4,0
0,0,0.846220356,0.299431818,2,0,19.46306818,2,23,0
0,0,0.423880105,0.143371212,0,3,9.749242424,2,23,0
0,0,0.958242754,0.310416667,0,3,22.03958333,2,23,0
0,0,0.661824769,0.214393939,0,0,15.2219697,2,23,0
0,0,2.739673913,0.8875,0,0,63.0125,2,23,0
0,1,0,0,0,1,0,2,1,0
0,0,0.695405138,0.213257576,0,3,15.99431818,2,23,0
0,1,0.411166008,0.082954545,0,37,9.456818182,2,23,0
0,2,0,0,0,2,0,2,1,0
0,0,0.472826087,0.09375,0,2,10.875,2,23,0
0,0,0.637796443,0.125378788,0,1,14.66931818,2,23,0
0,0,0.695602767,0.136742424,0,0,15.99886364,2,23,0
0,0,0.562648221,0.110606061,0,0,12.94090909,2,23,0
0,0,1.069911067,0.201704545,2,7,24.60795455,2,23,0
0,0,0.877108037,0.162689394,0,2,20.17348485,2,23,0
0,1,0,0,0,1,0,2,1,0
0,0,0.499917655,0.08844697,0,5,11.49810606,2,23,0
0,0,1.514130435,0.263825758,0,2,34.825,2,23,0
0,0,1.211396574,0.196212121,0,10,27.86212121,2,23,0
0,2,0,0,0,2,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,0,0.833992095,0.119886364,1,16,19.18181818,2,23,0
0,1,0,0,0,1,0,2,1,0
0,0,0.7631917,0.102651515,0,10,17.55340909,2,23,0
0,2,0,0,0,2,0,2,1,0
0,0,0.801646904,0.10719697,1,0,18.43787879,2,23,0
0,0,1.03423913,0.1375,0,1,23.7875,2,23,0
0,0,1.096969697,0.137121212,0,0,4.387878788,2,4,0
0,0,1.032017544,0.137121212,2,4,19.60833333,2,19,0
0,0,1.026315789,0.135416667,0,1,19.5,2,19,0
0,0,1.1171875,0.135416667,0,1,4.46875,2,4,0
0,1,0,0,0,1,0,2,1,0
0,0,0.755731225,0.090530303,0,14,17.38181818,2,23,0
0,0,0.604413702,0.069507576,0,8,13.90151515,2,23,0
0,0,1.716773715,0.192613636,0,5,39.48579545,2,23,0
0,1,0,0,0,1,0,2,1,0
0,0,0.649687088,0.072537879,0,0,14.94280303,2,23,0
0,0,2.113636364,0.211363636,0,0,8.454545455,2,4,0
0,0,1.846650718,0.211363636,0,0,35.08636364,2,19,0
0,0,1.876235178,0.205492424,2,6,43.15340909,2,23,0
0,1,1.863002306,0.183901515,2,25,42.84905303,2,23,0
0,1,0,0,0,1,0,2,1,0
2,0,0,0,2,0,0,2,1,0
0,0,4.220339262,0.445265152,15,1,97.06780303,2,23,0
0,0,2.443552372,0.256628788,0,1,56.20170455,2,23,0
2,0,0,0,2,0,0,2,1,0
0,0,0,0,0,0,0,2,1,0
0,0,1.500988142,0.159090909,0,0,34.52272727,2,23,0
0,0,2.388735178,0.254356061,1,0,54.94090909,2,23,0
0,0,1.187952899,0.127083333,3,2,27.32291667,2,23,0
0,0,11.87239789,1.192424242,0,14,273.0651515,2,23,0
