ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SORT_ORDER,STOP_ID,STOP,LAT,LON
8,8:08,EAST,250,1758,NINE MILE/MEADOWSPRING,37.54224,-77.372295
8,8:08,EAST,260,3212,Nine Mile/Kenway,37.545469,-77.366715
8,8:08,EAST,270,3049,NINE MILE/CEDAR FORK,37.546162,-77.364546
8,8:08,EAST,280,3561,Eastgate/Nine Mile,37.5452,-77.362742
8,8:08,WEST,10,3561,Eastgate/Nine Mile,37.5452,-77.362742
8,8:08,WEST,30,3562,Colwyck/Laburnum,37.543107,-77.365639
8,8:08,WEST,40,1812,NINE MILE/WATSON,37.543552,-77.370991
8,8:08,WEST,50,1813,NINE MILE/E RICHMOND,37.54133,-77.374322
8,8:08,WEST,60,1814,NINE MILE/MASONIC,37.540785,-77.378797
8,8:08,WEST,70,1816,NINE MILE/ECHO,37.542638,-77.385822
8,8:08,WEST,80,1817,NINE MILE/GORDON LANE,37.543893,-77.38958
8,8:08,WEST,90,1818,NINE MILE/BUNCHE PLACE,37.54344,-77.396575
8,8:08,WEST,110,233,NINE MILE/30TH,37.541732,-77.401763
8,8:08,WEST,120,234,NINE MILE/29TH,37.541473,-77.403433
8,8:08,WEST,130,1820,NINE MILE/27TH,37.541028,-77.406738
8,8:08,WEST,140,3363,25TH/S,37.540077,-77.410861
8,8:08,WEST,150,1821,25TH/R,37.539355,-77.411547
8,8:08,WEST,160,1822,25TH/VENABLE,37.537601,-77.413202
8,8:08,WEST,170,244,JEFFERSON/23RD,37.535,-77.418215
8,8:08,WEST,180,119,21ST/MARSHALL,37.534149,-77.422238
8,8:08,WEST,200,120,BROAD/19TH,37.534962,-77.424151
8,8:08,WEST,210,122,BROAD/17TH,37.536062,-77.425916
8,8:08,WEST,220,3055,BROAD/12TH,37.539599,-77.431641
8,8:08,WEST,230,125,BROAD/9TH,37.54079,-77.433617
8,8:08,WEST,240,3428,9th/Marshall (Mid-block between Marshall +Broad,37.541163,-77.433362
8,8:08,WEST,250,2616,TRANSFER PLAZA BAY G,37.542757,-77.432003
12,12:12,EAST,10,1753,MARSHALL/3RD,37.544935,-77.438568
12,12:12,EAST,20,1753,MARSHALL/3RD,37.544935,-77.438568
12,12:12,EAST,30,91,BROAD/4TH,37.543527,-77.438515
12,12:12,EAST,30,297,MARSHALL/7TH,37.542469,-77.434554
12,12:12,EAST,40,3057,BROAD/9TH,37.541063,-77.434492
12,12:12,EAST,40,2616,TRANSFER PLAZA BAY G,37.542757,-77.432003
12,12:12,EAST,40,2632,TRANSFER PLAZA BAY H,37.542873,-77.431757
12,12:12,EAST,50,2616,TRANSFER PLAZA BAY G,37.542757,-77.432003
12,12:12,EAST,50,2632,TRANSFER PLAZA BAY H,37.542873,-77.431757
12,12:12,EAST,60,1042,MOSBY/LEIGH,37.540213,-77.42017
12,12:12,EAST,70,1042,MOSBY/LEIGH,37.540213,-77.42017
12,12:12,EAST,70,3424,Venable/22nd,37.538243,-77.418042
12,12:12,EAST,80,3424,Venable/22nd,37.538243,-77.418042
12,12:12,EAST,80,3541,Venable/Pink,37.538235,-77.414627
12,12:12,EAST,90,3541,Venable/Pink,37.538235,-77.414627
12,12:12,EAST,100,1803,25TH/R,37.539237,-77.411468
12,12:12,EAST,110,1803,25TH/R,37.539237,-77.411468
12,12:12,EAST,110,3385,25th/S,37.540009,-77.410769
12,12:12,EAST,120,3490,FAIRMOUNT/24TH,37.540775,-77.411433
12,12:12,EAST,120,980,22ND/FAIRMOUNT,37.542265,-77.412857
12,12:12,EAST,130,980,22ND/FAIRMOUNT,37.542265,-77.412857
12,12:12,EAST,130,981,22ND/U,37.54394,-77.411249
12,12:12,EAST,140,981,22ND/U,37.54394,-77.411249
12,12:12,EAST,140,982,22ND/W,37.545351,-77.409939
12,12:12,EAST,150,982,22ND/W,37.545351,-77.409939
12,12:12,EAST,150,3370,X/22nd,37.546607,-77.409284
12,12:12,EAST,160,3370,X/22nd,37.546607,-77.409284
12,12:12,EAST,160,3371,21st/Fairfield,37.54832,-77.408876
12,12:12,EAST,170,3371,21st/Fairfield,37.54832,-77.408876
12,12:12,EAST,170,3372,21st/Phaup,37.550734,-77.40736
12,12:12,EAST,180,3372,21st/Phaup,37.550734,-77.40736
12,12:12,EAST,180,3482,COOL/23RD,37.55196,-77.405457
12,12:12,EAST,190,3482,COOL/23RD,37.55196,-77.405457
12,12:12,EAST,200,3374,25th/Phaup,37.550157,-77.403423
12,12:12,EAST,210,3374,25th/Phaup,37.550157,-77.403423
12,12:12,EAST,210,3504,Kane/Fairfield,37.548544,-77.399158
12,12:12,EAST,220,3504,Kane/Fairfield,37.548544,-77.399158
12,12:12,EAST,220,228,Kane/29th,37.546696,-77.397805
12,12:12,EAST,230,228,Kane/29th,37.546696,-77.397805
12,12:12,EAST,230,229,CREIGHTON/KANE,37.545685,-77.397902
12,12:12,EAST,240,229,CREIGHTON/KANE,37.545685,-77.397902
12,12:12,EAST,240,230,CREIGHTON AT COMMUNITY CENTER,37.544803,-77.398878
12,12:12,EAST,250,230,CREIGHTON AT COMMUNITY CENTER,37.544803,-77.398878
12,12:12,EAST,250,232,CREIGHTON/NINE MILE,37.54261,-77.400332
12,12:12,EAST,260,232,CREIGHTON/NINE MILE,37.54261,-77.400332
12,12:12,EAST,260,233,NINE MILE/30TH,37.541732,-77.401763
12,12:12,EAST,270,233,NINE MILE/30TH,37.541732,-77.401763
12,12:12,EAST,270,234,NINE MILE/29TH,37.541473,-77.403433
12,12:12,EAST,280,234,NINE MILE/29TH,37.541473,-77.403433
12,12:12,EAST,280,235,28TH/U,37.540387,-77.406219
12,12:12,EAST,290,235,28TH/U,37.540387,-77.406219
12,12:12,EAST,300,3444,31st/U,37.538636,-77.403671
12,12:12,EAST,310,3444,31st/U,37.538636,-77.403671
12,12:12,EAST,310,3442,31st/R,37.536145,-77.405898
12,12:12,EAST,320,3442,31st/R,37.536145,-77.405898
12,12:12,EAST,320,3440,31st/O,37.533692,-77.408247
12,12:12,EAST,330,3440,31st/O,37.533692,-77.408247
12,12:12,EAST,330,241,M/30TH,37.532666,-77.411318
12,12:12,EAST,340,241,M/30TH,37.532666,-77.411318
12,12:12,EAST,340,242,M/27TH,37.53396,-77.413451
12,12:12,EAST,350,242,M/27TH,37.53396,-77.413451
12,12:12,EAST,360,2584,25TH/LEIGH,37.534128,-77.416513
12,12:12,EAST,370,2584,25TH/LEIGH,37.534128,-77.416513
12,12:12,EAST,370,3614,25th/BROAD,37.531801,-77.418747
12,12:12,EAST,380,3614,25th/BROAD,37.531801,-77.418747
12,12:12,EAST,380,398,MAIN/25TH,37.529325,-77.421505
12,12:12,EAST,390,398,MAIN/25TH,37.529325,-77.421505
12,12:12,EAST,390,3373,23rd/Franklin,37.530838,-77.422331
12,12:12,EAST,400,3373,23rd/Franklin,37.530838,-77.422331
12,12:12,WEST,10,3373,23rd/Franklin,37.530838,-77.422331
12,12:12,WEST,20,3373,23rd/Franklin,37.530838,-77.422331
12,12:12,WEST,30,3613,25th/BROAD,37.531707,-77.41863
12,12:12,WEST,40,974,25TH/LEIGH,37.534142,-77.41634
12,12:12,WEST,50,214,M/27TH,37.534043,-77.413907
12,12:12,WEST,60,214,M/27TH,37.534043,-77.413907
12,12:12,WEST,70,215,M/29TH,37.532668,-77.411667
12,12:12,WEST,80,3439,31st/O,37.533376,-77.408322
12,12:12,WEST,90,3441,31st/R,37.53586,-77.405885
12,12:12,WEST,100,3443,31st/U,37.538435,-77.403462
12,12:12,WEST,110,3539,U/28th,37.540266,-77.40598
12,12:12,WEST,120,1805,NINE MILE/29TH,37.541327,-77.403942
12,12:12,WEST,130,1805,NINE MILE/29TH,37.541327,-77.403942
12,12:12,WEST,140,1806,NINE MILE/31ST,37.541638,-77.401732
12,12:12,WEST,150,3369,Creighton/Nine Mile,37.542493,-77.40017
12,12:12,WEST,160,3484,Creighton at Community Center,37.544616,-77.398774
12,12:12,WEST,170,3483,Creighton/Walcott,37.545505,-77.397931
12,12:12,WEST,180,3503,Kane/Fairfield,37.548442,-77.398804
12,12:12,WEST,190,2572,25TH/PHAUP,37.550465,-77.40302
12,12:12,WEST,200,2435,COOL LANE/23RD,37.552138,-77.405395
12,12:12,WEST,210,2435,COOL LANE/23RD,37.552138,-77.405395
12,12:12,WEST,220,990,21ST/PHAUP,37.550683,-77.4077
12,12:12,WEST,230,992,21ST/FAIRFIELD,37.54824,-77.409218
12,12:12,WEST,240,1017,X/22ND,37.546405,-77.409345
12,12:12,WEST,250,1018,22ND/W,37.545624,-77.409861
12,12:12,WEST,260,1020,22ND/U,37.543897,-77.411587
12,12:12,WEST,270,1021,22ND/FAIRMOUNT,37.542332,-77.412977
12,12:12,WEST,280,3489,FAIRMOUNT/24TH,37.540723,-77.411636
12,12:12,WEST,290,1821,25TH/R,37.539355,-77.411547
12,12:12,WEST,300,3540,Venable/Pink,37.538382,-77.414376
12,12:12,WEST,310,3540,Venable/Pink,37.538382,-77.414376
12,12:12,WEST,320,3425,Venable/22nd,37.538367,-77.417721
12,12:12,WEST,330,996,MOSBY/VENABLE,37.538663,-77.420282
12,12:12,WEST,340,997,MOSBY/O,37.540274,-77.419984
12,12:12,WEST,340,674,10TH/MARSHALL,37.540721,-77.432685
12,12:12,WEST,350,674,10TH/MARSHALL,37.540721,-77.432685
12,12:12,WEST,350,3244,BROAD/7TH,37.541538,-77.434838
12,12:12,WEST,360,3244,BROAD/7TH,37.541538,-77.434838
12,12:12,WEST,360,128,BROAD/4TH,37.543761,-77.438541
12,12:12,WEST,370,128,BROAD/4TH,37.543761,-77.438541
12,12:12,WEST,370,3438,2nd/Broad,37.544792,-77.439822
12,12:12,WEST,380,3438,2nd/Broad,37.544792,-77.439822
12,12:12,WEST,380,1753,MARSHALL/3RD,37.544935,-77.438568
12,12:12,WEST,390,1753,MARSHALL/3RD,37.544935,-77.438568
12,12:12,WEST,400,3428,9th/Marshall (Mid-block between Marshall +Broad,37.541163,-77.433362
12,12:12,WEST,410,3428,9th/Marshall (Mid-block between Marshall +Broad,37.541163,-77.433362
12,12:12,WEST,410,2616,TRANSFER PLAZA BAY G,37.542757,-77.432003
12,12:12,WEST,410,2632,TRANSFER PLAZA BAY H,37.542873,-77.431757
12,12:12,WEST,420,2616,TRANSFER PLAZA BAY G,37.542757,-77.432003
12,12:12,WEST,420,2632,TRANSFER PLAZA BAY H,37.542873,-77.431757
13,Route #13,EAST,10,3373,23rd/Franklin,37.530838,-77.422331
13,Route #13,EAST,20,3373,23rd/Franklin,37.530838,-77.422331
13,Route #13,EAST,30,3613,25th/BROAD,37.531707,-77.41863
13,Route #13,EAST,40,106,MARSHALL/27TH,37.53144,-77.41634
13,Route #13,EAST,50,107,MARSHALL/29TH,37.530307,-77.414488
13,Route #13,EAST,60,108,MARSHALL/31ST,37.529198,-77.412692
13,Route #13,EAST,70,109,MARSHALL/33RD,37.528102,-77.410903
13,Route #13,EAST,80,109,MARSHALL/33RD,37.528102,-77.410903
13,Route #13,EAST,90,362,MARSHALL/CHIMBORAZO BOULEVARD,37.527013,-77.409102
13,Route #13,EAST,100,111,CHIMBORAZO BOULEVARD/LEIGH,37.529057,-77.408281
13,Route #13,EAST,110,113,CHIMBORAZO BOULEVARD/N,37.530863,-77.406532
13,Route #13,EAST,120,114,CHIMBORAZO BOULEVARD/O,37.53202,-77.405403
13,Route #13,EAST,130,116,P/35TH,37.531952,-77.403623
13,Route #13,EAST,140,117,R/36TH,37.53233,-77.401398
13,Route #13,EAST,150,158,35TH/CANEPA,37.533125,-77.399413
13,Route #13,EAST,160,3384,E Richmond/Oakwood,37.53448,-77.396552
13,Route #13,EAST,170,162,OAKWOOD/BOXLEY,37.534292,-77.39853
13,Route #13,EAST,180,162,OAKWOOD/BOXLEY,37.534292,-77.39853
13,Route #13,WEST,10,162,OAKWOOD/BOXLEY,37.534292,-77.39853
13,Route #13,WEST,20,162,OAKWOOD/BOXLEY,37.534292,-77.39853
13,Route #13,WEST,30,146,OAKWOOD/Q,37.533365,-77.403653
13,Route #13,WEST,40,147,CHIMBORAZO BOULEVARD/P,37.532528,-77.40511
13,Route #13,WEST,50,148,CHIMBORAZO BOULEVARD/N,37.531142,-77.406422
13,Route #13,WEST,60,150,CHIMBORAZO BOULEVARD/LEIGH,37.529382,-77.408098
13,Route #13,WEST,70,151,MARSHALL/CHIMBORAZO BOULEVARD,37.527728,-77.409997
13,Route #13,WEST,80,152,MARSHALL/33RD,37.528376,-77.411059
13,Route #13,WEST,90,152,MARSHALL/33RD,37.528376,-77.411059
13,Route #13,WEST,100,153,MARSHALL/31ST,37.52914,-77.412301
13,Route #13,WEST,110,154,MARSHALL/29TH,37.530203,-77.414138
13,Route #13,WEST,120,155,MARSHALL/27TH,37.531377,-77.416053
13,Route #13,WEST,130,3614,25th/BROAD,37.531801,-77.418747
13,Route #13,WEST,140,398,MAIN/25TH,37.529325,-77.421505
13,Route #13,WEST,150,3373,23rd/Franklin,37.530838,-77.422331
13,Route #13,WEST,160,3373,23rd/Franklin,37.530838,-77.422331
14,14:14,EAST,10,2177,CHAMBERLAYNE/WILMER,37.605325,-77.450258
14,14:14,EAST,20,2177,CHAMBERLAYNE/WILMER,37.605325,-77.450258
14,14:14,EAST,30,2178,CHAMBERLAYNE/BROOK HILL AZALEA SHOPPING CENTER,37.603894,-77.450631
14,14:14,EAST,40,2187,Azalea/Seminary,37.601741,-77.452458
14,14:14,EAST,50,2188,BROOK RD/AZALEA,37.600247,-77.454232
14,14:14,EAST,60,2680,BROOK/WESTBROOK,37.597455,-77.453722
14,14:14,EAST,70,3427,Westbrook/Stratford,37.596634,-77.457621
14,14:14,EAST,80,858,WESTBROOK/CRESTWOOD,37.596457,-77.46167
14,14:14,EAST,90,3183,Hermitage/Westbrook,37.595362,-77.466423
14,14:14,EAST,100,860,HERMITAGE/PRINCETON,37.592912,-77.46527
14,14:14,EAST,110,885,HERMITAGE/BELLEVUE,37.590751,-77.464298
14,14:14,EAST,120,887,HERMITAGE/CLAREMONT,37.587149,-77.463855
14,14:14,EAST,130,888,HERMITAGE/LABURNUM,37.584384,-77.462729
14,14:14,EAST,140,888,HERMITAGE/LABURNUM,37.584384,-77.462729
14,14:14,EAST,150,890,HERMITAGE/MAPLE SHADE LN,37.582045,-77.46228
14,14:14,EAST,160,893,HERMITAGE/OAKDALE,37.579333,-77.46175
14,14:14,EAST,170,898,BOULEVARD/WESTWOOD,37.577848,-77.461925
14,14:14,EAST,180,900,BOULEVARD/ELLEN,37.574309,-77.46391
14,14:14,EAST,190,3497,Hermitage/Sherwood,37.571302,-77.460964
14,14:14,EAST,200,3495,Hermitage/Rhoadmiller,37.566688,-77.46074
14,14:14,EAST,210,3420,Overbrook/Hermitage,37.565427,-77.458554
14,14:14,EAST,220,3432,Overbrook/1400 Overbrook,37.565403,-77.454832
14,14:14,EAST,230,2551,OVERBROOK/LANGSTON,37.565318,-77.45145
14,14:14,EAST,240,3217,Overbrook/Brook,37.565392,-77.448994
14,14:14,EAST,250,876,BROOK/LOMBARDY,37.562912,-77.448223
14,14:14,EAST,260,876,BROOK/LOMBARDY,37.562912,-77.448223
14,14:14,EAST,270,878,LOMBARDY/ADMIRAL,37.560448,-77.450359
14,14:14,EAST,280,879,LOMBARDY/MAGGIE WALKER HIGH SCHOOL,37.557583,-77.453057
14,14:14,EAST,290,3512,Lombardy/Broad,37.555706,-77.454767
14,14:14,EAST,300,81,BROAD/RYLAND,37.552667,-77.453978
14,14:14,EAST,310,3082,BROAD/SHAFER,37.550628,-77.45048
14,14:14,EAST,320,84,BROAD/LAUREL,37.549331,-77.44841
14,14:14,EAST,330,85,BROAD/HENRY,37.548248,-77.446443
